date,count_rate
2013-04-11,105.223
2013-04-12,105.013
2013-04-13,105.117
2013-04-14,102.284
2013-04-15,101.692
2013-04-16,102.646
2013-04-17,103.130
2013-04-18,103.463
2013-04-19,103.754
2013-04-20,104.282
2013-04-21,104.610
2013-04-22,104.324
2013-04-23,103.935
2013-04-24,103.913
2013-04-25,103.594
2013-04-26,104.436
2013-04-27,105.165
2013-04-28,105.661
2013-04-29,105.968
2013-04-30,104.944
2013-05-01,104.425
2013-05-02,104.759
2013-05-03,104.534
2013-05-04,104.426
2013-05-05,104.603
2013-05-06,103.927
2013-05-07,102.828
2013-05-08,103.017
2013-05-09,102.779
2013-05-10,103.026
2013-05-11,103.206
2013-05-12,103.200
2013-05-13,102.770
2013-05-14,102.603
2013-05-15,102.197
2013-05-16,100.724
2013-05-17,100.302
2013-05-23,100.203
2013-05-24,100.340
2013-05-28,100.530
2013-05-29,101.164
2013-05-30,101.505
2013-05-31,102.107
2013-06-01,101.295
2013-06-02,100.782
2013-06-03,101.191
2013-06-04,101.266
2013-06-05,101.273
2013-06-06,101.416
2013-06-07,100.592
2013-06-08,100.179
2013-06-09,100.352
2013-06-10,100.447
2013-06-11,100.946
2013-06-12,101.738
2013-06-13,102.141
2013-06-14,102.004
2013-06-15,102.472
2013-06-16,102.179
2013-06-17,102.064
2013-06-18,102.599
2013-06-19,102.991
2013-06-20,102.915
2013-06-21,103.003
2013-06-22,102.676
2013-06-23,102.113
2013-06-24,100.383
2013-06-25,101.294
2013-06-26,100.462
2013-06-27,101.450
2013-06-28,100.722
2013-06-29,102.315
2013-06-30,102.558
2013-07-01,102.869
2013-07-02,102.206
2013-07-03,101.416
2013-07-04,101.278
2013-07-05,101.545
2013-07-07,100.217
2013-07-08,101.778
2013-07-09,101.671
2013-07-10,100.515
2013-07-11,100.829
2013-07-12,101.433
2013-07-14,100.580
2013-07-15,100.728
2013-07-16,101.332
2013-07-17,102.294
2013-07-18,102.437
2013-07-19,102.785
2013-07-20,103.332
2013-07-21,103.090
2013-07-22,102.968
2013-07-23,103.111
2013-07-24,103.161
2013-07-25,103.631
2013-07-26,103.166
2013-07-27,103.230
2013-07-28,102.523
2013-07-29,102.017
2013-07-30,101.563
2013-07-31,101.856
2013-08-01,102.008
2013-08-02,102.403
2013-08-03,102.425
2013-08-04,101.520
2013-08-05,101.333
2013-08-06,101.736
2013-08-07,102.026
2013-08-08,102.469
2013-08-09,102.933
2013-08-10,102.709
2013-08-11,102.359
2013-08-12,102.726
2013-08-13,103.073
2013-08-14,103.184
2013-08-15,103.290
2013-08-16,103.295
2013-08-17,103.253
2013-08-18,103.198
2013-08-19,103.304
2013-08-20,103.313
2013-08-21,102.883
2013-08-22,102.849
2013-08-23,103.063
2013-08-24,101.150
2013-08-25,101.727
2013-08-26,102.193
2013-08-27,102.425
2013-08-28,102.808
2013-08-29,103.103
2013-08-30,102.413
2013-08-31,102.266
2013-09-01,102.143
2013-09-02,102.260
2013-09-03,101.604
2013-09-04,100.806
2013-09-05,101.177
2013-09-06,101.457
2013-09-07,101.602
2013-09-08,102.370
2013-09-09,102.676
2013-09-10,103.200
2013-09-11,103.255
2013-09-12,103.327
2013-09-13,103.549
2013-09-14,103.545
2013-09-15,103.787
2013-09-16,103.803
2013-09-17,103.541
2013-09-18,103.253
2013-09-19,103.144
2013-09-20,103.362
2013-09-21,103.882
2013-09-22,103.861
2013-09-23,104.108
2013-09-24,103.962
2013-09-25,104.475
2013-09-26,104.156
2013-09-27,104.292
2013-09-28,104.516
2013-09-29,104.383
2013-09-30,104.796
2013-10-01,104.481
2013-10-02,102.724
2013-10-03,102.804
2013-10-04,103.198
2013-10-05,103.711
2013-10-06,104.224
2013-10-07,104.535
2013-10-08,104.651
2013-10-09,103.497
2013-10-10,104.110
2013-10-11,104.664
2013-10-12,105.044
2013-10-13,104.816
2013-10-14,104.837
2013-10-15,103.671
2013-10-16,103.577
2013-10-17,104.136
2013-10-18,104.355
2013-10-19,104.471
2013-10-20,105.164
2013-10-21,105.824
2013-10-22,105.535
2013-10-23,104.750
2013-10-24,104.114
2013-10-25,104.273
2013-10-26,105.042
2013-10-27,105.104
2013-10-28,105.287
2013-10-29,104.998
2013-10-30,103.388
2013-10-31,103.526
2013-11-01,104.015
2013-11-02,104.054
2013-11-03,104.224
2013-11-04,104.425
2013-11-05,104.142
2013-11-06,104.577
2013-11-07,104.506
2013-11-08,104.676
2013-11-09,103.633
2013-11-10,103.292
2013-11-11,102.227
2013-11-12,102.431
2013-11-13,102.917
2013-11-14,103.370
2013-11-15,103.202
2013-11-16,103.412
2013-11-17,104.064
2013-11-18,104.040
2013-11-19,104.264
2013-11-20,104.656
2013-11-21,104.565
2013-11-22,104.225
2013-11-23,103.947
2013-11-24,103.953
2013-11-25,104.137
2013-11-26,103.381
2013-11-27,102.730
2013-11-28,103.448
2013-11-29,104.195
2013-11-30,104.158
2013-12-01,102.647
2013-12-02,101.966
2013-12-03,102.097
2013-12-04,103.037
2013-12-05,103.366
2013-12-06,103.385
2013-12-07,103.569
2013-12-08,102.836
2013-12-09,102.767
2013-12-10,102.281
2013-12-11,102.260
2013-12-12,103.244
