detector,ssn_slope,ssn_r2,ssn_p_ols,ssn_p_hac,nm_lag0_slope,nm_lag0_r2,nm_lag0_p_hac,nm_best_lag,nm_best_r2,nm_best_p_hac,decl_slope,decl_r2,rise_slope,rise_r2,slope_diff,slope_diff_p_hac,lag_scan_smoothing_sols
B,-0.032073288323627415,0.8843187717289231,0.0,1.1574328604267974e-70,0.353761729267919,0.9458848223423214,1.6901001561727575e-91,5,0.9456806674422046,1.9174555523912915e-91,0.3061140182360429,0.9490600714835148,0.3717147620987221,0.9679517274620683,0.0656007438626736,3.885062626132381e-07,27
E,-0.043059625724737,0.8785234782048016,0.0,2.436786146486158e-66,0.47950796692106396,0.9578537832570959,5.557051894008079e-161,10,0.9582435821700459,9.105658098625754e-163,0.43469450896325046,0.9511786167146533,0.4998728923564132,0.9695250543912785,0.06517838339314802,0.0016895868086022631,27
